age,feedback_rating,sentiment_score,total_spend,room_bookings,room_spend,restaurant_visits,restaurant_spend,pool_uses,breakfast_uses,gender_F,gender_M,prefecture_1,prefecture_13,prefecture_23,prefecture_27,prefecture_40,target
70,5,0,46714,3,41000,1,5714,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7
15,4,1,17234,1,12000,1,5234,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7
33,3,1,24122,1,14000,2,10122,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7
62,3,0,26798,1,20000,1,6798,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
42,5,1,53451,4,47000,1,6451,0,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10
61,5,0,25000,2,25000,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
67,5,-1,61750,4,46000,3,15750,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8
32,3,1,33643,2,22000,2,11643,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7
42,4,1,44550,1,28000,3,16550,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8
34,4,1,73188,5,63000,2,10188,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10
51,5,1,18000,1,18000,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10
66,3,1,51495,4,46000,1,5495,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8
49,3,1,27000,1,27000,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7
44,4,-1,71668,4,56000,3,15668,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8
21,2,0,17000,1,17000,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
19,2,0,25221,1,15000,2,10221,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3
23,3,1,48614,2,37000,2,11614,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7
18,3,-1,60000,4,60000,0,0,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7
39,4,-1,66202,5,61000,1,5202,3,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5
70,3,0,69000,5,69000,0,0,5,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6
28,3,0,42193,3,32000,2,10193,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4
65,4,-1,58769,4,48000,2,10769,1,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8
28,4,0,35868,2,30000,1,5868,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6
72,5,1,50000,3,50000,0,0,3,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10
66,5,0,68252,4,53000,3,15252,0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8
49,5,0,28000,2,28000,0,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
67,2,1,59384,4,43000,3,16384,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7
32,3,-1,37958,1,26000,2,11958,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4
48,3,1,31868,1,25000,1,6868,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
46,3,-1,30590,1,14000,3,16590,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
15,5,1,12000,1,12000,0,0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9
61,4,0,45000,3,45000,0,0,3,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6
71,2,1,56379,3,41000,3,15379,1,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6
66,3,-1,56226,3,46000,2,10226,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4
54,4,0,46291,2,30000,3,16291,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
34,3,-1,69950,5,58000,2,11950,3,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10
59,2,1,50000,3,50000,0,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
57,2,1,37360,3,32000,1,5360,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7
21,5,1,35650,2,29000,1,6650,1,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9
52,2,-1,69662,5,53000,3,16662,2,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4
19,5,-1,57000,4,57000,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7
38,2,-1,62644,4,51000,2,11644,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4
54,1,-1,58000,4,58000,0,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
45,5,1,33983,2,22000,2,11983,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9
15,3,0,22000,2,22000,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4
60,4,-1,45899,3,30000,3,15899,1,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9
45,5,1,70495,4,59000,2,11495,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10
33,5,1,38626,3,33000,1,5626,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10
23,3,1,40000,3,40000,0,0,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8
44,5,1,67087,5,52000,3,15087,0,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10
59,2,0,83064,5,67000,3,16064,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5
59,4,-1,74867,5,68000,1,6867,3,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10
58,4,-1,15791,1,10000,1,5791,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8
33,3,1,79237,5,64000,3,15237,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9
28,4,0,35357,1,25000,2,10357,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5
18,4,0,56443,4,50000,1,6443,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6
46,1,0,24686,1,18000,1,6686,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
18,5,0,41000,3,41000,0,0,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7
20,2,1,61207,4,55000,1,6207,2,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8
47,3,0,41017,3,30000,2,11017,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4
47,1,-1,63000,5,63000,0,0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6
62,5,-1,53000,4,53000,0,0,1,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9
55,2,0,57000,5,57000,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4
56,1,1,33756,1,22000,2,11756,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4
30,5,1,59529,3,48000,2,11529,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10
37,1,-1,74549,5,63000,2,11549,2,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5
50,2,1,67788,4,57000,2,10788,1,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8
35,3,0,56867,4,40000,3,16867,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
32,3,-1,61487,3,46000,3,15487,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6
33,2,0,44149,3,38000,1,6149,2,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4
40,3,-1,27341,1,21000,1,6341,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7
54,2,0,22000,2,22000,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3
15,2,1,49000,4,49000,0,0,2,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8
67,1,-1,25621,1,10000,3,15621,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
51,5,1,39000,2,39000,0,0,2,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9
20,2,0,34939,2,24000,2,10939,1,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3
21,1,-1,28729,1,23000,1,5729,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5
38,5,-1,41528,2,35000,1,6528,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10
64,4,0,32000,2,32000,0,0,2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6
66,3,1,26298,2,20000,1,6298,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7
30,3,1,71253,4,60000,2,11253,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8
45,4,1,32487,1,21000,2,11487,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8
54,3,0,58876,4,48000,2,10876,2,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5
24,1,-1,36049,1,25000,2,11049,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4
57,3,0,58795,4,53000,1,5795,4,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5
28,2,1,70126,4,54000,3,16126,2,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8
30,2,-1,62153,5,51000,2,11153,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8
57,1,0,51000,4,51000,0,0,3,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
67,2,-1,18350,1,12000,1,6350,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6
57,5,1,14000,1,14000,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8
72,1,0,63000,5,63000,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3
41,4,-1,57514,4,46000,2,11514,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7
22,3,-1,76421,5,65000,2,11421,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10
63,3,1,56000,4,56000,0,0,2,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9
62,4,-1,49387,2,34000,3,15387,1,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7
40,5,-1,70985,5,64000,1,6985,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8
69,1,1,34000,2,34000,0,0,2,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4
45,2,1,75926,4,60000,3,15926,3,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7
39,5,0,48297,3,37000,2,11297,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7
25,2,1,60341,3,45000,3,15341,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7
26,3,-1,65520,3,49000,3,16520,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8
49,5,-1,55042,3,40000,3,15042,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10
42,3,-1,40845,3,30000,2,10845,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7
17,1,1,21582,1,11000,2,10582,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
55,3,1,52000,4,52000,0,0,4,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8
24,5,-1,54787,3,49000,1,5787,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8
24,3,0,71958,5,55000,3,16958,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5
29,5,0,40261,1,24000,3,16261,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7
26,3,1,72770,4,57000,3,15770,1,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9
49,4,1,56063,4,40000,3,16063,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9
27,2,0,37863,3,31000,1,6863,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3
46,4,1,53561,3,38000,3,15561,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9
61,3,0,46881,2,40000,1,6881,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5
62,1,0,40020,1,25000,3,15020,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2
27,2,0,35930,2,24000,2,11930,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3
36,4,0,63718,4,52000,2,11718,1,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7
49,5,1,39526,1,28000,2,11526,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10
31,3,0,50297,4,40000,2,10297,2,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5
45,3,-1,52540,3,37000,3,15540,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7
36,2,-1,40473,1,30000,2,10473,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7
63,1,0,52837,4,47000,1,5837,4,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3
64,2,-1,51230,3,36000,3,15230,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
65,5,-1,58729,3,43000,3,15729,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8
65,2,-1,74484,5,64000,2,10484,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5
25,5,0,38313,1,28000,2,10313,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7
36,3,1,20231,1,14000,1,6231,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6
55,2,-1,31190,1,15000,3,16190,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
69,3,-1,76749,5,61000,3,15749,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4
18,4,0,41480,3,36000,1,5480,3,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6
72,5,1,36000,2,36000,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10
16,3,0,14000,1,14000,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4
40,5,1,66830,4,56000,2,10830,3,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10
30,2,1,40088,2,25000,3,15088,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
44,4,0,35923,2,20000,3,15923,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5
41,2,-1,37295,1,26000,2,11295,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5
66,1,-1,59000,4,59000,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
19,4,1,29000,1,29000,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9
54,2,0,28000,2,28000,0,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3
30,2,1,37942,1,26000,2,11942,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5
31,4,-1,54919,3,49000,1,5919,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
69,3,0,31000,2,31000,0,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4
29,4,1,19859,1,13000,1,6859,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8
47,1,1,54000,5,54000,0,0,4,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5
45,1,-1,54525,4,44000,2,10525,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2
68,2,1,71036,5,55000,3,16036,2,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8
30,3,0,30557,2,20000,2,10557,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4
66,5,1,67245,5,51000,3,16245,1,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10
46,3,1,45247,2,30000,3,15247,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7
37,5,1,56277,4,46000,2,10277,2,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10
49,4,1,52000,4,52000,0,0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9
71,2,0,57000,5,57000,0,0,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4
61,5,0,45000,3,45000,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7
59,4,-1,28000,1,28000,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7
16,5,-1,32193,1,26000,1,6193,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8
19,3,0,79773,5,63000,3,16773,1,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6
19,4,1,39000,3,39000,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8
65,1,1,61949,5,51000,2,10949,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
33,1,-1,52637,3,46000,1,6637,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
60,1,0,62804,4,47000,3,15804,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3
27,2,0,42000,4,42000,0,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
72,5,0,31000,2,31000,0,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
18,4,-1,16000,1,16000,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3
31,3,1,56248,5,51000,1,5248,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9
53,1,-1,13000,1,13000,0,0,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5
17,1,-1,60000,4,60000,0,0,2,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
15,5,-1,54000,4,54000,0,0,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10
20,2,1,29000,1,29000,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5
67,5,-1,58139,4,52000,1,6139,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10
36,5,1,70263,5,59000,2,11263,0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10
72,1,0,72156,5,56000,3,16156,2,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3
55,1,0,28000,1,28000,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2
32,5,1,57242,5,51000,1,6242,1,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10
43,4,-1,52433,4,42000,2,10433,0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9
54,2,-1,35000,3,35000,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6
50,1,0,53799,3,42000,2,11799,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3
31,1,0,61596,5,56000,1,5596,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3
31,3,-1,69591,4,59000,2,10591,2,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4
59,4,0,65829,4,49000,3,16829,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
35,2,0,47386,3,41000,1,6386,0,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4
63,4,0,45000,3,45000,0,0,3,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6
39,4,0,68287,5,53000,3,15287,3,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7
71,1,0,31161,2,20000,2,11161,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2
23,1,-1,27195,1,12000,3,15195,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
32,3,1,69545,4,58000,2,11545,2,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8
70,5,1,38811,1,23000,3,15811,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9
58,2,0,28386,1,13000,3,15386,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2
27,4,0,54045,4,43000,2,11045,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6
62,1,0,64043,3,48000,3,16043,1,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3
70,2,1,42000,4,42000,0,0,2,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6
64,4,-1,63713,4,53000,2,10713,3,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10
49,2,1,26339,1,20000,1,6339,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5
64,1,1,75596,5,70000,1,5596,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
66,2,1,51488,3,36000,3,15488,0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7
66,2,1,25000,2,25000,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7
32,3,0,58190,5,52000,1,6190,1,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
38,1,0,46374,2,30000,3,16374,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
50,5,-1,57335,4,47000,2,10335,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9
62,3,0,59890,4,44000,3,15890,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
59,4,0,60711,3,50000,2,10711,1,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
62,1,0,40000,3,40000,0,0,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2
58,5,-1,39305,2,23000,3,16305,0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9
38,2,0,40091,3,34000,1,6091,1,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3
52,4,0,45000,3,45000,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6
23,5,-1,47271,3,37000,2,10271,0,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5
18,4,1,28751,1,18000,2,10751,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8
22,1,1,35227,1,30000,1,5227,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6
38,5,-1,35032,2,29000,1,6032,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5
70,1,1,53168,4,43000,2,10168,1,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6
46,2,0,40000,3,40000,0,0,2,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4
49,3,1,63008,3,48000,3,15008,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8
57,3,1,66614,4,56000,2,10614,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8
55,3,1,57000,5,57000,0,0,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9
54,2,-1,29000,2,29000,0,0,2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3
67,3,-1,75991,5,69000,1,6991,3,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6
40,1,0,47146,2,31000,3,16146,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2
21,2,1,35000,2,35000,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6
62,1,1,61780,3,45000,3,16780,1,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
70,1,0,51598,4,40000,2,11598,1,4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2
62,1,0,49759,2,33000,3,16759,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
36,4,0,64762,4,54000,2,10762,2,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7
43,4,-1,64181,3,48000,3,16181,1,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5
46,1,-1,54000,5,54000,0,0,4,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3
45,4,1,29000,1,29000,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9
17,4,0,34015,2,28000,1,6015,2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6
58,2,0,37630,1,26000,2,11630,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3
63,1,0,52000,4,52000,0,0,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3
64,4,0,51313,3,35000,3,16313,1,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
66,3,1,68631,4,57000,2,11631,3,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9
40,3,0,38692,1,27000,2,11692,0,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
40,1,1,44137,1,28000,3,16137,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4
32,5,-1,67475,4,57000,2,10475,4,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10
33,5,1,45799,2,30000,3,15799,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10
46,5,0,48000,4,48000,0,0,1,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8
40,1,0,69072,5,59000,2,10072,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3
38,2,1,16836,1,10000,1,6836,1,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6
27,1,0,59637,3,48000,2,11637,2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3
57,4,0,47000,3,47000,0,0,2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6
69,2,1,24000,1,24000,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7
27,4,-1,69115,4,49000,4,20115,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8
48,3,0,58000,5,58000,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6
51,2,0,62861,4,46000,3,16861,2,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
44,3,0,58955,3,47000,2,11955,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5
29,4,1,56138,3,50000,1,6138,0,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10
